,ZONE CHART,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,,,,,,,,
1,UPS Ground/UPS 3 Day Select/UPS 2nd Day Air/UPS 2nd Day Air A.M./UPS Next Day Air Saver/UPS Next Day Air,,,,,,,,
2,,,,,,,,,
3,For shipments originating in ZIP Codes 464-01 to 464-99. To determine zone,,,,,,,,
4,take the first three digits of the receiver's ZIP Code and refer to the chart below:,,,,,,,,
5,,,,,,,,,
6,ZONES,,,,,,,,
7,Dest. ZIP,Ground,3 Day Select,2nd Day Air,2nd Day Air A.M.,Next Day Air Saver,Next Day Air,,
166,174,004,304,204,244,134,104,,
167,175,004,304,204,244,134,104,,
168,176,004,304,204,244,134,104,,
169,177,004,304,204,244,134,104,,
170,178,004,304,204,244,134,104,,
171,179,004,304,204,244,134,104,,
172,180,005,305,205,245,135,105,,
173,181,005,305,205,245,135,105,,
174,182,004,304,204,244,134,104,,
175,183,005,305,205,245,135,105,,
176,184,004,304,204,244,134,104,,
177,185,004,304,204,244,134,104,,
178,186,004,304,204,244,134,104,,
179,187,004,304,204,244,134,104,,
180,188,004,304,204,244,134,104,,
181,189,005,305,205,245,135,105,,
182,190,005,305,205,245,135,105,,
183,191,005,305,205,245,135,105,,
184,192,005,305,205,245,135,105,,
185,193,005,305,205,245,135,105,,
186,194,005,305,205,245,135,105,,
187,195,004,304,204,244,134,104,,
188,196,004,304,204,244,134,104,,
189,197,005,305,205,245,135,105,,
190,198,005,305,205,245,135,105,,
191,199,005,305,205,245,135,105,,
192,200,004,304,204,244,134,104,,
193,201,004,304,204,244,134,104,,
194,202,004,304,204,244,134,104,,
195,203,004,304,204,244,134,104,,
196,204,004,304,204,244,134,104,,
197,205,004,304,204,244,134,104,,
198,206,004,304,204,244,134,104,,
199,207,004,304,204,244,134,104,,
200,208,004,304,204,244,134,104,,
201,209,004,304,204,244,134,104,,
202,210,004,304,204,244,134,104,,
203,211,004,304,204,244,134,104,,
204,212,004,304,204,244,134,104,,
205,214,004,304,204,244,134,104,,
206,215,004,304,204,244,134,104,,
207,216,004,304,204,244,134,104,,
208,217,004,304,204,244,134,104,,
209,218,005,305,205,245,135,105,,
210,219,005,305,205,245,135,105,,
211,220,004,304,204,244,134,104,,
212,221,004,304,204,244,134,104,,
213,222,004,304,204,244,134,104,,
214,223,004,304,204,244,134,104,,
215,224,004,304,204,244,134,104,,
216,225,004,304,204,244,134,104,,
217,226,004,304,204,244,134,104,,
218,227,004,304,204,244,134,104,,
219,228,004,304,204,244,134,104,,
220,229,004,304,204,244,134,104,,
221,230,004,304,204,244,134,104,,
222,231,004,304,204,244,134,104,,
223,232,004,304,204,244,134,104,,
224,233,005,305,205,245,135,105,,
225,234,005,305,205,245,135,105,,
226,235,005,305,205,245,135,105,,
227,236,005,305,205,245,135,105,,
228,237,005,305,205,245,135,105,,
229,238,004,304,204,244,134,104,,
230,239,004,304,204,244,134,104,,
231,240,004,304,204,244,134,104,,
232,241,004,304,204,244,134,104,,
233,242,004,304,204,244,134,104,,
234,243,004,304,204,244,134,104,,
235,244,004,304,204,244,134,104,,
236,245,004,304,204,244,134,104,,
237,246,004,304,204,244,134,104,,
238,247,004,304,204,244,134,104,,
239,248,004,304,204,244,134,104,,
240,249,004,304,204,244,134,104,,
241,250,004,304,204,244,134,104,,
242,251,004,304,204,244,134,104,,
243,252,004,304,204,244,134,104,,
244,253,004,304,204,244,134,104,,
245,254,004,304,204,244,134,104,,
246,255,004,304,204,244,134,104,,
247,256,004,304,204,244,134,104,,
248,257,004,304,204,244,134,104,,
249,258,004,304,204,244,134,104,,
250,259,004,304,204,244,134,104,,
251,260,004,304,204,244,134,104,,
252,261,004,304,204,244,134,104,,
253,262,004,304,204,244,134,104,,
254,263,004,304,204,244,134,104,,
255,264,004,304,204,244,134,104,,
256,265,004,304,204,244,134,104,,
257,266,004,304,204,244,134,104,,
258,267,004,304,204,244,134,104,,
259,268,004,304,204,244,134,104,,
260,270,004,304,204,244,134,104,,
261,271,004,304,204,244,134,104,,
262,272,004,304,204,244,134,104,,
263,273,004,304,204,244,134,104,,
264,274,004,304,204,244,134,104,,
265,275,004,304,204,244,134,104,,
266,276,004,304,204,244,134,104,,
267,277,004,304,204,244,134,104,,
268,278,005,305,205,245,135,105,,
269,279,005,305,205,245,135,105,,
270,280,004,304,204,244,134,104,,
271,281,004,304,204,244,134,104,,
272,282,004,304,204,244,134,104,,
273,283,005,305,205,245,135,105,,
274,284,005,305,205,245,135,105,,
275,285,005,305,205,245,135,105,,
276,286,004,304,204,244,134,104,,
277,287,004,304,204,244,134,104,,
278,288,004,304,204,244,134,104,,
279,289,004,304,204,244,134,104,,
280,290,005,305,205,245,135,105,,
281,291,005,305,205,245,135,105,,
282,292,005,305,205,245,135,105,,
283,293,004,304,204,244,134,104,,
284,294,005,305,205,245,135,105,,
285,295,005,305,205,245,135,105,,
286,296,004,304,204,244,134,104,,
287,297,004,304,204,244,134,104,,
288,298,005,305,205,245,135,105,,
289,299,005,305,205,245,135,105,,
290,300,004,304,204,244,134,104,,
291,301,004,304,204,244,134,104,,
292,302,004,304,204,244,134,104,,
293,303,004,304,204,244,134,104,,
294,304,005,305,205,245,135,105,,
295,305,004,304,204,244,134,104,,
296,306,004,304,204,244,134,104,,
297,307,004,304,204,244,134,104,,
298,308,005,305,205,245,135,105,,
299,309,005,305,205,245,135,105,,
300,310,005,305,205,245,135,105,,
301,311,004,304,204,244,134,104,,
302,312,005,305,205,245,135,105,,
303,313,005,305,205,245,135,105,,
304,314,005,305,205,245,135,105,,
305,315,005,305,205,245,135,105,,
306,316,005,305,205,245,135,105,,
307,317,005,305,205,245,135,105,,
308,318,005,305,205,245,135,105,,
309,319,005,305,205,245,135,105,,
310,320,005,305,205,245,135,105,,
311,321,005,305,205,245,135,105,,
312,322,005,305,205,245,135,105,,
313,323,005,305,205,245,135,105,,
314,324,005,305,205,245,135,105,,
315,325,005,305,205,245,135,105,,
316,326,005,305,205,245,135,105,,
317,327,005,305,205,245,135,105,,
318,328,005,305,205,245,135,105,,
319,329,005,305,205,245,135,105,,
320,330,006,306,206,246,136,106,,
321,331,006,306,206,246,136,106,,
322,332,006,306,206,246,136,106,,
323,333,006,306,206,246,136,106,,
324,334,006,306,206,246,136,106,,
325,335,005,305,205,245,135,105,,
326,336,005,305,205,245,135,105,,
327,337,005,305,205,245,135,105,,
328,338,005,305,205,245,135,105,,
329,339,006,306,206,246,136,106,,
330,341,006,306,206,246,136,106,,
331,342,005,305,205,245,135,105,,
332,344,005,305,205,245,135,105,,
333,346,005,305,205,245,135,105,,
334,347,005,305,205,245,135,105,,
335,349,006,306,206,246,136,106,,
336,350,004,304,204,244,134,104,,
337,351,004,304,204,244,134,104,,
338,352,004,304,204,244,134,104,,
339,354,004,304,204,244,134,104,,
340,355,004,304,204,244,134,104,,
341,356,004,304,204,244,134,104,,
342,357,004,304,204,244,134,104,,
343,358,004,304,204,244,134,104,,
344,359,004,304,204,244,134,104,,
345,360,005,305,205,245,135,105,,
346,361,005,305,205,245,135,105,,
347,362,004,304,204,244,134,104,,
348,363,005,305,205,245,135,105,,
349,364,005,305,205,245,135,105,,
350,365,005,305,205,245,135,105,,
351,366,005,305,205,245,135,105,,
352,367,005,305,205,245,135,105,,
353,368,005,305,205,245,135,105,,
354,369,005,305,205,245,135,105,,
355,370,004,304,204,244,134,104,,
356,371,004,304,204,244,134,104,,
357,372,004,304,204,244,134,104,,
358,373,004,304,204,244,134,104,,
359,374,004,304,204,244,134,104,,
360,375,004,304,204,244,134,104,,
361,376,004,304,204,244,134,104,,
362,377,004,304,204,244,134,104,,
363,378,004,304,204,244,134,104,,
364,379,004,304,204,244,134,104,,
365,380,004,304,204,244,134,104,,
366,381,004,304,204,244,134,104,,
367,382,004,304,204,244,134,104,,
368,383,004,304,204,244,134,104,,
369,384,004,304,204,244,134,104,,
370,385,004,304,204,244,134,104,,
371,386,004,304,204,244,134,104,,
372,387,005,305,205,245,135,105,,
373,388,004,304,204,244,134,104,,
