origin,idx,destination,ground,three_day_select,two_day_air,two_day_air_am,next_day_air_saver,next_day_air,unknown1,unknown2
398,8,005,005,305,205,245,135,105,,
398,9,006,045,-,225,-,-,125,,
398,10,007,045,-,225,-,-,125,,
398,11,009,045,-,225,-,-,125,,
398,12,010,005,305,205,245,135,105,,
398,13,011,005,305,205,245,135,105,,
398,14,012,005,305,205,245,135,105,,
398,15,013,005,305,205,245,135,105,,
398,16,014,005,305,205,245,135,105,,
398,17,015,005,305,205,245,135,105,,
398,18,016,005,305,205,245,135,105,,
398,19,017,005,305,205,245,135,105,,
398,20,018,005,305,205,245,135,105,,
398,21,019,006,306,206,246,136,106,,
398,22,020,005,305,205,245,135,105,,
398,23,021,005,305,205,245,135,105,,
398,24,022,005,305,205,245,135,105,,
398,25,023,005,305,205,245,135,105,,
398,26,024,005,305,205,245,135,105,,
398,27,025,006,306,206,246,136,106,,
398,28,026,006,306,206,246,136,106,,
398,29,027,005,305,205,245,135,105,,
398,30,028,005,305,205,245,135,105,,
398,31,029,005,305,205,245,135,105,,
398,32,030,006,306,206,246,136,106,,
398,33,031,006,306,206,246,136,106,,
398,34,032,006,306,206,246,136,106,,
398,35,033,006,306,206,246,136,106,,
398,36,034,005,305,205,245,135,105,,
398,37,035,006,306,206,246,136,106,,
398,38,036,006,306,206,246,136,106,,
398,39,037,006,306,206,246,136,106,,
398,40,038,006,306,206,246,136,106,,
398,41,039,006,306,206,246,136,106,,
398,42,040,006,306,206,246,136,106,,
398,43,041,006,306,206,246,136,106,,
398,44,042,006,306,206,246,136,106,,
398,45,043,006,306,206,246,136,106,,
398,46,044,006,306,206,246,136,106,,
398,47,045,006,306,206,246,136,106,,
398,48,046,006,306,206,246,136,106,,
398,49,047,006,306,206,246,136,106,,
398,50,048,006,306,206,246,136,106,,
398,51,049,006,306,206,246,136,106,,
398,52,050,006,306,206,246,136,106,,
398,53,051,006,306,206,246,136,106,,
398,54,052,005,305,205,245,135,105,,
398,55,053,005,305,205,245,135,105,,
398,56,054,006,306,206,246,136,106,,
398,57,055,005,305,205,245,135,105,,
398,58,056,006,306,206,246,136,106,,
398,59,057,006,306,206,246,136,106,,
398,60,058,006,306,206,246,136,106,,
398,61,059,006,306,206,246,136,106,,
398,62,060,005,305,205,245,135,105,,
398,63,061,005,305,205,245,135,105,,
398,64,062,005,305,205,245,135,105,,
398,65,063,005,305,205,245,135,105,,
398,66,064,005,305,205,245,135,105,,
398,67,065,005,305,205,245,135,105,,
398,68,066,005,305,205,245,135,105,,
398,69,067,005,305,205,245,135,105,,
398,70,068,005,305,205,245,135,105,,
398,71,069,005,305,205,245,135,105,,
398,72,070,005,305,205,245,135,105,,
398,73,071,005,305,205,245,135,105,,
398,74,072,005,305,205,245,135,105,,
398,75,073,005,305,205,245,135,105,,
398,76,074,005,305,205,245,135,105,,
398,77,075,005,305,205,245,135,105,,
398,78,076,005,305,205,245,135,105,,
398,79,077,005,305,205,245,135,105,,
398,80,078,005,305,205,245,135,105,,
398,81,079,005,305,205,245,135,105,,
398,82,080,005,305,205,245,135,105,,
398,83,081,005,305,205,245,135,105,,
398,84,082,005,305,205,245,135,105,,
398,85,083,005,305,205,245,135,105,,
398,86,084,005,305,205,245,135,105,,
398,87,085,005,305,205,245,135,105,,
398,88,086,005,305,205,245,135,105,,
398,89,087,005,305,205,245,135,105,,
398,90,088,005,305,205,245,135,105,,
398,91,089,005,305,205,245,135,105,,
398,92,100,005,305,205,245,135,105,,
398,93,101,005,305,205,245,135,105,,
398,94,102,005,305,205,245,135,105,,
398,95,103,005,305,205,245,135,105,,
398,96,104,005,305,205,245,135,105,,
398,97,105,005,305,205,245,135,105,,
398,98,106,005,305,205,245,135,105,,
398,99,107,005,305,205,245,135,105,,
398,100,108,005,305,205,245,135,105,,
398,101,109,005,305,205,245,135,105,,
398,102,110,005,305,205,245,135,105,,
398,103,111,005,305,205,245,135,105,,
398,104,112,005,305,205,245,135,105,,
398,105,113,005,305,205,245,135,105,,
398,106,114,005,305,205,245,135,105,,
398,107,115,005,305,205,245,135,105,,
398,108,116,005,305,205,245,135,105,,
398,109,117,005,305,205,245,135,105,,
398,110,118,005,305,205,245,135,105,,
398,111,119,005,305,205,245,135,105,,
398,112,120,005,305,205,245,135,105,,
398,113,121,005,305,205,245,135,105,,
398,114,122,005,305,205,245,135,105,,
398,115,123,005,305,205,245,135,105,,
398,116,124,005,305,205,245,135,105,,
398,117,125,005,305,205,245,135,105,,
398,118,126,005,305,205,245,135,105,,
398,119,127,005,305,205,245,135,105,,
398,120,128,005,305,205,245,135,105,,
398,121,129,006,306,206,246,136,106,,
398,122,130,005,305,205,245,135,105,,
398,123,131,005,305,205,245,135,105,,
398,124,132,005,305,205,245,135,105,,
398,125,133,005,305,205,245,135,105,,
398,126,134,005,305,205,245,135,105,,
398,127,135,005,305,205,245,135,105,,
398,128,136,005,305,205,245,135,105,,
398,129,137,005,305,205,245,135,105,,
398,130,138,005,305,205,245,135,105,,
398,131,139,005,305,205,245,135,105,,
398,132,140,005,305,205,245,135,105,,
398,133,141,005,305,205,245,135,105,,
398,134,142,005,305,205,245,135,105,,
398,135,143,005,305,205,245,135,105,,
398,136,144,005,305,205,245,135,105,,
398,137,145,005,305,205,245,135,105,,
398,138,146,005,305,205,245,135,105,,
398,139,147,005,305,205,245,135,105,,
398,140,148,005,305,205,245,135,105,,
398,141,149,005,305,205,245,135,105,,
398,142,150,005,305,205,245,135,105,,
398,143,151,005,305,205,245,135,105,,
398,144,152,005,305,205,245,135,105,,
398,145,153,005,305,205,245,135,105,,
398,146,154,004,304,204,244,134,104,,
398,147,155,005,305,205,245,135,105,,
398,148,156,005,305,205,245,135,105,,
398,149,157,005,305,205,245,135,105,,
398,150,158,005,305,205,245,135,105,,
398,151,159,005,305,205,245,135,105,,
398,152,160,005,305,205,245,135,105,,
398,153,161,005,305,205,245,135,105,,
398,154,162,005,305,205,245,135,105,,
398,155,163,005,305,205,245,135,105,,
398,156,164,005,305,205,245,135,105,,
398,157,165,005,305,205,245,135,105,,
398,158,166,005,305,205,245,135,105,,
398,159,167,005,305,205,245,135,105,,
398,160,168,005,305,205,245,135,105,,
398,161,169,005,305,205,245,135,105,,
398,162,170,005,305,205,245,135,105,,
398,163,171,005,305,205,245,135,105,,
398,164,172,005,305,205,245,135,105,,
398,165,173,005,305,205,245,135,105,,
398,166,174,005,305,205,245,135,105,,
398,167,175,005,305,205,245,135,105,,
398,168,176,005,305,205,245,135,105,,
398,169,177,005,305,205,245,135,105,,
398,170,178,005,305,205,245,135,105,,
398,171,179,005,305,205,245,135,105,,
398,172,180,005,305,205,245,135,105,,
398,173,181,005,305,205,245,135,105,,
398,174,182,005,305,205,245,135,105,,
398,175,183,005,305,205,245,135,105,,
