origin,idx,destination,ground,three_day_select,two_day_air,two_day_air_am,next_day_air_saver,next_day_air,unknown1,unknown2
220,8,005,003,303,203,243,133,103,,
220,9,006,045,-,225,-,-,125,,
220,10,007,045,-,225,-,-,125,,
220,11,009,045,-,225,-,-,125,,
220,12,010,004,304,204,244,134,104,,
220,13,011,004,304,204,244,134,104,,
220,14,012,003,303,203,243,133,103,,
220,15,013,004,304,204,244,134,104,,
220,16,014,004,304,204,244,134,104,,
220,17,015,004,304,204,244,134,104,,
220,18,016,004,304,204,244,134,104,,
220,19,017,004,304,204,244,134,104,,
220,20,018,004,304,204,244,134,104,,
220,21,019,004,304,204,244,134,104,,
220,22,020,004,304,204,244,134,104,,
220,23,021,004,304,204,244,134,104,,
220,24,022,004,304,204,244,134,104,,
220,25,023,004,304,204,244,134,104,,
220,26,024,004,304,204,244,134,104,,
220,27,025,004,304,204,244,134,104,,
220,28,026,004,304,204,244,134,104,,
220,29,027,004,304,204,244,134,104,,
220,30,028,004,304,204,244,134,104,,
220,31,029,004,304,204,244,134,104,,
220,32,030,004,304,204,244,134,104,,
220,33,031,004,304,204,244,134,104,,
220,34,032,004,304,204,244,134,104,,
220,35,033,004,304,204,244,134,104,,
220,36,034,004,304,204,244,134,104,,
220,37,035,004,304,204,244,134,104,,
220,38,036,004,304,204,244,134,104,,
220,39,037,004,304,204,244,134,104,,
220,40,038,004,304,204,244,134,104,,
220,41,039,004,304,204,244,134,104,,
220,42,040,004,304,204,244,134,104,,
220,43,041,004,304,204,244,134,104,,
220,44,042,004,304,204,244,134,104,,
220,45,043,004,304,204,244,134,104,,
220,46,044,004,304,204,244,134,104,,
220,47,045,004,304,204,244,134,104,,
220,48,046,004,304,204,244,134,104,,
220,49,047,005,305,205,245,135,105,,
220,50,048,004,304,204,244,134,104,,
220,51,049,004,304,204,244,134,104,,
220,52,050,004,304,204,244,134,104,,
220,53,051,004,304,204,244,134,104,,
220,54,052,004,304,204,244,134,104,,
220,55,053,004,304,204,244,134,104,,
220,56,054,004,304,204,244,134,104,,
220,57,055,004,304,204,244,134,104,,
220,58,056,004,304,204,244,134,104,,
220,59,057,004,304,204,244,134,104,,
220,60,058,004,304,204,244,134,104,,
220,61,059,004,304,204,244,134,104,,
220,62,060,003,303,203,243,133,103,,
220,63,061,003,303,203,243,133,103,,
220,64,062,004,304,204,244,134,104,,
220,65,063,003,303,203,243,133,103,,
220,66,064,003,303,203,243,133,103,,
220,67,065,003,303,203,243,133,103,,
220,68,066,003,303,203,243,133,103,,
220,69,067,003,303,203,243,133,103,,
220,70,068,003,303,203,243,133,103,,
220,71,069,003,303,203,243,133,103,,
220,72,070,003,303,203,243,133,103,,
220,73,071,003,303,203,243,133,103,,
220,74,072,003,303,203,243,133,103,,
220,75,073,003,303,203,243,133,103,,
220,76,074,003,303,203,243,133,103,,
220,77,075,003,303,203,243,133,103,,
220,78,076,003,303,203,243,133,103,,
220,79,077,003,303,203,243,133,103,,
220,80,078,003,303,203,243,133,103,,
220,81,079,003,303,203,243,133,103,,
220,82,080,002,302,202,242,132,102,,
220,83,081,002,302,202,242,132,102,,
220,84,082,002,302,202,242,132,102,,
220,85,083,002,302,202,242,132,102,,
220,86,084,002,302,202,242,132,102,,
220,87,085,002,302,202,242,132,102,,
220,88,086,002,302,202,242,132,102,,
220,89,087,003,303,203,243,133,103,,
220,90,088,003,303,203,243,133,103,,
220,91,089,003,303,203,243,133,103,,
220,92,100,003,303,203,243,133,103,,
220,93,101,003,303,203,243,133,103,,
220,94,102,003,303,203,243,133,103,,
220,95,103,003,303,203,243,133,103,,
220,96,104,003,303,203,243,133,103,,
220,97,105,003,303,203,243,133,103,,
220,98,106,003,303,203,243,133,103,,
220,99,107,003,303,203,243,133,103,,
220,100,108,003,303,203,243,133,103,,
220,101,109,003,303,203,243,133,103,,
220,102,110,003,303,203,243,133,103,,
220,103,111,003,303,203,243,133,103,,
220,104,112,003,303,203,243,133,103,,
220,105,113,003,303,203,243,133,103,,
220,106,114,003,303,203,243,133,103,,
220,107,115,003,303,203,243,133,103,,
220,108,116,003,303,203,243,133,103,,
220,109,117,003,303,203,243,133,103,,
220,110,118,003,303,203,243,133,103,,
220,111,119,003,303,203,243,133,103,,
220,112,120,004,304,204,244,134,104,,
220,113,121,004,304,204,244,134,104,,
220,114,122,004,304,204,244,134,104,,
220,115,123,004,304,204,244,134,104,,
220,116,124,003,303,203,243,133,103,,
220,117,125,003,303,203,243,133,103,,
220,118,126,003,303,203,243,133,103,,
220,119,127,003,303,203,243,133,103,,
220,120,128,004,304,204,244,134,104,,
220,121,129,004,304,204,244,134,104,,
220,122,130,003,303,203,243,133,103,,
220,123,131,003,303,203,243,133,103,,
220,124,132,003,303,203,243,133,103,,
220,125,133,004,304,204,244,134,104,,
220,126,134,004,304,204,244,134,104,,
220,127,135,004,304,204,244,134,104,,
220,128,136,004,304,204,244,134,104,,
220,129,137,003,303,203,243,133,103,,
220,130,138,003,303,203,243,133,103,,
220,131,139,003,303,203,243,133,103,,
220,132,140,003,303,203,243,133,103,,
220,133,141,003,303,203,243,133,103,,
220,134,142,003,303,203,243,133,103,,
220,135,143,004,304,204,244,134,104,,
220,136,144,003,303,203,243,133,103,,
220,137,145,003,303,203,243,133,103,,
220,138,146,003,303,203,243,133,103,,
220,139,147,003,303,203,243,133,103,,
220,140,148,003,303,203,243,133,103,,
220,141,149,003,303,203,243,133,103,,
220,142,150,003,303,203,243,133,103,,
220,143,151,003,303,203,243,133,103,,
220,144,152,003,303,203,243,133,103,,
220,145,153,003,303,203,243,133,103,,
220,146,154,002,302,202,242,132,102,,
220,147,155,002,302,202,242,132,102,,
220,148,156,002,302,202,242,132,102,,
220,149,157,003,303,203,243,133,103,,
220,150,158,003,303,203,243,133,103,,
220,151,159,002,302,202,242,132,102,,
220,152,160,003,303,203,243,133,103,,
220,153,161,003,303,203,243,133,103,,
220,154,162,003,303,203,243,133,103,,
220,155,163,003,303,203,243,133,103,,
220,156,164,003,303,203,243,133,103,,
220,157,165,003,303,203,243,133,103,,
220,158,166,002,302,202,242,132,102,,
220,159,167,003,303,203,243,133,103,,
220,160,168,002,302,202,242,132,102,,
220,161,169,003,303,203,243,133,103,,
220,162,170,002,302,202,242,132,102,,
220,163,171,002,302,202,242,132,102,,
220,164,172,002,302,202,242,132,102,,
220,165,173,002,302,202,242,132,102,,
220,166,174,002,302,202,242,132,102,,
220,167,175,002,302,202,242,132,102,,
220,168,176,002,302,202,242,132,102,,
220,169,177,003,303,203,243,133,103,,
220,170,178,002,302,202,242,132,102,,
220,171,179,002,302,202,242,132,102,,
220,172,180,003,303,203,243,133,103,,
220,173,181,003,303,203,243,133,103,,
220,174,182,002,302,202,242,132,102,,
220,175,183,003,303,203,243,133,103,,
220,176,184,003,303,203,243,133,103,,
220,177,185,003,303,203,243,133,103,,
220,178,186,003,303,203,243,133,103,,
220,179,187,003,303,203,243,133,103,,
220,180,188,003,303,203,243,133,103,,
220,181,189,002,302,202,242,132,102,,
220,182,190,002,302,202,242,132,102,,
220,183,191,002,302,202,242,132,102,,
220,184,192,002,302,202,242,132,102,,
220,185,193,002,302,202,242,132,102,,
220,186,194,002,302,202,242,132,102,,
220,187,195,002,302,202,242,132,102,,
220,188,196,002,302,202,242,132,102,,
220,189,197,002,302,202,242,132,102,,
220,190,198,002,302,202,242,132,102,,
220,191,199,002,302,202,242,132,102,,
220,192,200,002,302,202,242,132,102,,
220,193,201,002,302,202,242,132,102,,
220,194,202,002,302,202,242,132,102,,
220,195,203,002,302,202,242,132,102,,
