origin,idx,destination,ground,three_day_select,two_day_air,two_day_air_am,next_day_air_saver,next_day_air,unknown1,unknown2
558,8,005,005,305,205,245,135,105,,
558,9,006,045,-,225,-,-,125,,
558,10,007,045,-,225,-,-,125,,
558,11,009,045,-,225,-,-,125,,
558,12,010,005,305,205,245,135,105,,
558,13,011,005,305,205,245,135,105,,
558,14,012,005,305,205,245,135,105,,
558,15,013,005,305,205,245,135,105,,
558,16,014,006,306,206,246,136,106,,
558,17,015,006,306,206,246,136,106,,
558,18,016,006,306,206,246,136,106,,
558,19,017,006,306,206,246,136,106,,
558,20,018,006,306,206,246,136,106,,
558,21,019,006,306,206,246,136,106,,
558,22,020,006,306,206,246,136,106,,
558,23,021,006,306,206,246,136,106,,
558,24,022,006,306,206,246,136,106,,
558,25,023,006,306,206,246,136,106,,
558,26,024,006,306,206,246,136,106,,
558,27,025,006,306,206,246,136,106,,
558,28,026,006,306,206,246,136,106,,
558,29,027,006,306,206,246,136,106,,
558,30,028,006,306,206,246,136,106,,
558,31,029,006,306,206,246,136,106,,
558,32,030,006,306,206,246,136,106,,
558,33,031,006,306,206,246,136,106,,
558,34,032,006,306,206,246,136,106,,
558,35,033,006,306,206,246,136,106,,
558,36,034,006,306,206,246,136,106,,
558,37,035,005,305,205,245,135,105,,
558,38,036,005,305,205,245,135,105,,
558,39,037,005,305,205,245,135,105,,
558,40,038,006,306,206,246,136,106,,
558,41,039,006,306,206,246,136,106,,
558,42,040,006,306,206,246,136,106,,
558,43,041,006,306,206,246,136,106,,
558,44,042,006,306,206,246,136,106,,
558,45,043,006,306,206,246,136,106,,
558,46,044,006,306,206,246,136,106,,
558,47,045,006,306,206,246,136,106,,
558,48,046,006,306,206,246,136,106,,
558,49,047,006,306,206,246,136,106,,
558,50,048,006,306,206,246,136,106,,
558,51,049,006,306,206,246,136,106,,
558,52,050,005,305,205,245,135,105,,
558,53,051,005,305,205,245,135,105,,
558,54,052,005,305,205,245,135,105,,
558,55,053,005,305,205,245,135,105,,
558,56,054,005,305,205,245,135,105,,
558,57,055,006,306,206,246,136,106,,
558,58,056,005,305,205,245,135,105,,
558,59,057,005,305,205,245,135,105,,
