origin,idx,destination,ground,three_day_select,two_day_air,two_day_air_am,next_day_air_saver,next_day_air,unknown1,unknown2
213,8,004-005,003,303,203,243,133,103,,
213,9,006-007,045,-,225,-,-,125,,
213,10,009,045,-,225,-,-,125,,
213,11,010-013,003,303,203,243,133,103,,
213,12,014-046,004,304,204,244,134,104,,
213,13,047,005,305,205,245,135,105,,
213,14,048-051,004,304,204,244,134,104,,
213,15,052-053,003,303,203,243,133,103,,
213,16,054-059,004,304,204,244,134,104,,
213,17,060-069,003,303,203,243,133,103,,
213,18,070-089,002,302,202,242,132,102,,
213,19,100-104,002,302,202,242,132,102,,
213,20,105-109,003,303,203,243,133,103,,
213,21,110-113,002,302,202,242,132,102,,
213,22,114-115,003,303,203,243,133,103,,
213,23,116,002,302,202,242,132,102,,
213,24,117-128,003,303,203,243,133,103,,
213,25,129,004,304,204,244,134,104,,
213,26,130-153,003,303,203,243,133,103,,
213,27,154-155,002,302,202,242,132,102,,
213,28,156,003,303,203,243,133,103,,
213,29,157,002,302,202,242,132,102,,
213,30,158,003,303,203,243,133,103,,
213,31,159,002,302,202,242,132,102,,
213,32,160-165,003,303,203,243,133,103,,
213,33,166,002,302,202,242,132,102,,
213,34,167,003,303,203,243,133,103,,
213,35,168,002,302,202,242,132,102,,
213,36,169,003,303,203,243,133,103,,
213,37,170-187,002,302,202,242,132,102,,
213,38,188,003,303,203,243,133,103,,
213,39,189-232,002,302,202,242,132,102,,
213,40,233-237,003,303,203,243,133,103,,
213,41,238-239,002,302,202,242,132,102,,
213,42,240-241,003,303,203,243,133,103,,
213,43,242,004,304,204,244,134,104,,
213,44,243,003,303,203,243,133,103,,
213,45,244,002,302,202,242,132,102,,
213,46,245-253,003,303,203,243,133,103,,
213,47,254,002,302,202,242,132,102,,
213,48,255-264,003,303,203,243,133,103,,
213,49,265,002,302,202,242,132,102,,
213,50,266,003,303,203,243,133,103,,
213,51,267-268,002,302,202,242,132,102,,
213,52,270-279,003,303,203,243,133,103,,
213,53,280-282,004,304,204,244,134,104,,
213,54,283,003,303,203,243,133,103,,
213,55,284,004,304,204,244,134,104,,
213,56,285,003,303,203,243,133,103,,
213,57,286-314,004,304,204,244,134,104,,
213,58,315-339,005,305,205,245,135,105,,
213,59,341,005,305,205,245,135,105,,
213,60,342-369,005,305,205,245,135,105,,
213,61,370-374,004,304,204,244,134,104,,
213,62,375,005,305,205,245,135,105,,
213,63,376-379,004,304,204,244,134,104,,
213,64,380-384,005,305,205,245,135,105,,
213,65,385,004,304,204,244,134,104,,
213,66,386-397,005,305,205,245,135,105,,
213,67,398,005,305,205,245,135,105,,
213,68,399-418,004,304,204,244,134,104,,
213,69,420,005,305,205,245,135,105,,
213,70,421-436,004,304,204,244,134,104,,
213,71,437-447,003,303,203,243,133,103,,
213,72,448-456,004,304,204,244,134,104,,
213,73,457,003,303,203,243,133,103,,
213,74,458-497,004,304,204,244,134,104,,
213,75,498-509,005,305,205,245,135,105,,
213,76,510-512,006,306,206,246,136,106,,
213,77,513-561,005,305,205,245,135,105,,
213,78,562,006,306,206,246,136,106,,
213,79,563-564,005,305,205,245,135,105,,
213,80,565-587,006,306,206,246,136,106,,
213,81,588-595,007,307,207,247,137,107,,
213,82,596-599,008,308,208,248,138,108,,
213,83,600-609,004,304,204,244,134,104,,
213,84,610-617,005,305,205,245,135,105,,
213,85,618-619,004,304,204,244,134,104,,
213,86,620-663,005,305,205,245,135,105,,
213,87,664-666,006,306,206,246,136,106,,
213,88,667,005,305,205,245,135,105,,
213,89,668-693,006,306,206,246,136,106,,
213,90,700-702,005,305,205,245,135,105,,
213,91,703,006,306,206,246,136,106,,
213,92,704,005,305,205,245,135,105,,
213,93,705-711,006,306,206,246,136,106,,
213,94,712,005,305,205,245,135,105,,
213,95,713-714,006,306,206,246,136,106,,
213,96,716-729,005,305,205,245,135,105,,
213,97,730-748,006,306,206,246,136,106,,
213,98,749,005,305,205,245,135,105,,
213,99,750-768,006,306,206,246,136,106,,
213,100,769,007,307,207,247,137,107,,
213,101,770-784,006,306,206,246,136,106,,
213,102,785,007,307,207,247,137,107,,
213,103,786-787,006,306,206,246,136,106,,
213,104,788,007,307,207,247,137,107,,
213,105,789-792,006,306,206,246,136,106,,
213,106,793-794,007,307,207,247,137,107,,
213,107,795-796,006,306,206,246,136,106,,
213,108,797-831,007,307,207,247,137,107,,
213,109,832-844,008,308,208,248,138,108,,
213,110,845,007,307,207,247,137,107,,
213,111,846-864,008,308,208,248,138,108,,
213,112,865-885,007,307,207,247,137,107,,
213,113,889-961,008,308,208,248,138,108,,
213,114,970-986,008,308,208,248,138,108,,
213,115,988-994,008,308,208,248,138,108,,
